"genotype"	"cell.width"	"cell.height"	"treatment"
"XA53"	16.0913035023957	59.8952975386754	"B"
"XA53"	41.9726969799958	48.0829447675496	"A"
"control"	49.0558949384838	58.8359494939446	"B"
"XA53"	97.9132850962691	64.9123510298319	"B"
"XA53"	40.8054376738146	NA	"A"
"XA53"	92.146425918676	66.1511151212268	"A"
"XA53"	24.0562427485362	22.1759653236717	"B"
"XA53"	45.8004408109002	39.9339652143419	"B"
"XA53"	80.0783392766491	12.1691443017684	"A"
"control"	76.1800619095564	46.0608500336297	"B"
"XA53"	71.0099004073068	14.8714054259472	"B"
"XA53"	15.0365762995556	14.9273760368116	"B"
"XA53"	28.8875989131629	85.9236394740641	"A"
"control"	44.1582834864967	60.9024447721429	"A"
"XA53"	18.8884050814435	65.0259598788805	"A"
"XA53"	30.8381692742929	34.0866942218505	"B"
"XA53"	8.94209944764152	44.1699124583043	"A"
"XA53"	85.1482643241063	33.1832969909534	"B"
"XA53"	74.054881469626	NA	"B"
"XA53"	20.9027543973178	88.9811644988135	"B"
"XA53"	50.1713666305877	NA	"B"
"XA53"	100.096900251601	10.1015330453403	"B"
"XA53"	73.9950745902024	28.1983815719374	"A"
"XA53"	86.9870409255847	66.9428203378804	"B"
"control"	50.8503777648322	59.8584838440642	"A"
"control"	36.1211929720826	32.0395034263842	"B"
"control"	68.0078529252671	76.1807406619191	"A"
"XA53"	35.9944259507582	88.9488520414568	"B"
"XA53"	57.0286478391848	76.8783858236857	"A"
"XA53"	79.1656941607594	62.0856539384462	"A"
"XA53"	92.9429489649832	54.8681989376433	"A"
"XA53"	83.964294303488	80.8785250049084	"B"
"control"	52.1643664683215	65.1371550569311	"B"
"control"	70.8716420073062	78.0423600309528	"A"
"XA53"	6.86830015061423	52.962303724885	"B"
"control"	31.8737419243902	46.1711844532751	"B"
"XA53"	40.029217113927	89.8348319038749	"A"
"XA53"	77.8368248200044	36.0351101075299	"A"
"XA53"	17.1471732837148	35.8617530455813	"B"
"control"	38.925010769628	66.161374192033	"A"
"XA53"	38.9811869957484	92.9256048024632	"B"
"XA53"	56.1404409106821	32.0543750575744	"B"
"XA53"	59.0981888115406	11.1252182444558	"A"
"XA53"	21.9892911694944	66.1846831046045	"B"
"XA53"	65.165312189702	87.9543573697098	"A"
"XA53"	47.9016376974992	6.0657264823094	"B"
"XA53"	94.9267254807055	31.9804080740549	"B"
"XA53"	61.8976598623209	0.958971657790244	"A"
"XA53"	9.03521253550425	62.1854720457457	"B"
"XA53"	22.0815526113845	42.9370480095968	"B"
"XA53"	99.0039671031758	44.8025586617179	"A"
"XA53"	99.9959628848359	85.1147014390677	"B"
"XA53"	18.0414289002307	63.0895589972846	"B"
"control"	56.8845615829341	64.1395083727315	"B"
"control"	59.9802607838064	66.1875322058797	"B"
"XA53"	24.0702653284185	37.1426400364377	"A"
"XA53"	38.1671969708987	74.167317541875	"B"
"XA53"	96.1304150874726	NA	"A"
"XA53"	22.9622040120885	71.8378186000511	"B"
"XA53"	70.8325937302783	13.1149189148098	"B"
"XA53"	35.9518900477327	0.803244013525546	"A"
"XA53"	44.9951899033971	90.9228592189029	"B"
"XA53"	41.0455794120207	16.0814699390903	"A"
"XA53"	9.03642864525318	80.8686026983894	"B"
"XA53"	77.0303613027558	91.1083096872084	"B"
"XA53"	83.8948786847293	3.12819679547101	"B"
"XA53"	8.11974671557546	25.1832139591686	"A"
"XA53"	10.1315940817818	52.8441728150472	"A"
"XA53"	93.1332016834989	26.9963978547603	"A"
"XA53"	57.0484951943159	1.86030999766663	"A"
"XA53"	37.0047255969606	97.1371846260503	"A"
"XA53"	11.1015744912438	41.0220287120901	"A"
"XA53"	52.9017712210305	21.0448589907959	"A"
"control"	53.9471657590009	30.1542480463162	"B"
"XA53"	56.993606457673	31.9878701521084	"B"
"XA53"	17.1791321285069	94.9134742601775	"B"
"XA53"	50.0992389572784	81.0858340502717	"B"
"XA53"	74.8075570187531	94.9095717163757	"B"
"XA53"	71.8143548672087	79.9299990647472	"A"
"XA53"	13.1964988617226	10.9035427352414	"B"
"XA53"	12.0678928160109	28.1589133355767	"B"
"XA53"	80.0828850426711	100.130952244718	"B"
"XA53"	55.1116846626624	90.9081481230445	"A"
"XA53"	94.8894942206331	54.8113006787375	"A"
"XA53"	74.0049332818016	85.8049492829479	"A"
"control"	42.164385233447	41.0771687909961	"B"
"control"	44.0705232327804	65.1538065480068	"B"
"XA53"	84.8712258828804	44.1738340042532	"A"
"XA53"	12.1839964319952	94.8144930169918	"A"
"XA53"	98.0023991985247	58.9835740125738	"A"
"XA53"	24.9292456502095	19.1015545995906	"A"
"XA53"	36.894158656802	100.040824446268	"B"
"XA53"	10.1804509520531	55.1337677817792	"B"
"control"	32.9772639528848	39.1797653248534	"B"
"XA53"	13.8997374841943	46.1172544699162	"A"
"XA53"	24.9508225410245	NA	"B"
"XA53"	84.9878473474644	28.8302578352392	"A"
"XA53"	83.8366385705769	46.9625180038623	"B"
"XA53"	90.8391874986701	26.8000214577653	"B"
"XA53"	7.8674804228358	8.92878693351522	"A"
"XA53"	99.1374436188489	76.1307546735741	"B"
"XA53"	11.9611354138702	39.0559136420488	"A"
"XA53"	27.1591215934604	91.881104528252	"B"
"XA53"	88.8267877694219	82.8476103657857	"A"
"XA53"	6.86124707097188	45.9231326986104	"B"
"XA53"	78.1103321511298	54.9979935957119	"A"
"XA53"	75.0708329682238	8.81289941286668	"A"
"XA53"	28.8180945614353	31.9612494242378	"B"
"XA53"	29.8282129882835	86.1499018900096	"B"
"XA53"	43.132090998441	57.8824723544531	"B"
"XA53"	85.8739992294461	94.9070998103358	"A"
"XA53"	33.0874505801126	84.0285327950492	"B"
"control"	68.8627384527586	43.8963903434575	"B"
"XA53"	88.9656694754027	8.1650453732349	"A"
"XA53"	7.0609588637948	7.1153584738262	"A"
"control"	65.9771004365757	47.0121412202716	"B"
"XA53"	60.0604348108172	39.0162791884504	"A"
"XA53"	31.1222284463234	4.96956768669188	"B"
"control"	49.8371034377255	61.0174169361591	"A"
"XA53"	30.1537579730153	35.1143783451058	"B"
"XA53"	23.8572618762963	85.181116949115	"B"
"XA53"	92.8985895996913	97.148555161804	"B"
"XA53"	9.04096988765523	35.9798162287101	"A"
"XA53"	87.8378840520978	88.0885979272425	"B"
"XA53"	97.0652901547961	16.864760227222	"B"
"XA53"	44.8185757679865	72.0795441722497	"B"
"XA53"	39.9625729992054	15.1003204601817	"B"
"XA53"	28.8207140962593	6.9407763090916	"A"
"XA53"	10.1314639924094	41.0302581384778	"B"
"XA53"	91.8127056948841	22.8225291611627	"A"
"XA53"	1.89007292995229	48.1891748696566	"A"
"XA53"	21.8365114994347	74.111377343256	"B"
"XA53"	87.8643071916886	7.89384538624436	"A"
"control"	39.8803745064884	50.0681961378083	"B"
"XA53"	21.9671525570564	72.9262400374748	"A"
"control"	37.9849730118178	37.9547803701833	"A"
"XA53"	82.8736234471202	33.9735715084709	"B"
"XA53"	84.9744337630458	12.9803323695436	"A"
"XA53"	75.0484802753665	69.1663958199322	"B"
"XA53"	18.0587143803015	30.9920821193606	"A"
"XA53"	29.870574556943	81.1116240140051	"A"
"control"	50.9342516954057	47.0526547521353	"B"
"XA53"	91.960645572748	99.1854549187236	"B"
"control"	50.1815024624579	69.1847102005035	"B"
"XA53"	20.0189903170802	59.8277233063243	"A"
"XA53"	22.1890647569671	3.05300544518977	"A"
"XA53"	2.14655281752348	80.0940887504257	"B"
"XA53"	93.0411909374408	100.187245970964	"A"
"XA53"	12.0026127390563	47.9040083605796	"A"
"XA53"	78.8710685919039	13.8026370429434	"A"
"XA53"	7.02008475717157	6.13400940177962	"B"
"XA53"	16.0018400480039	31.1874172948301	"B"
"control"	44.9722478839569	59.8149546765722	"B"
"XA53"	19.8274363233708	27.0944284208119	"A"
"XA53"	41.9015561693348	83.1017103812657	"B"
"XA53"	51.1259292311035	75.8026544529013	"B"
"XA53"	0.967462264280766	58.9849795488641	"B"
"XA53"	98.9964372283779	87.1574355836958	"B"
"XA53"	83.8884293468669	54.819952181913	"B"
"XA53"	66.1428294562735	77.0780224245042	"A"
"XA53"	52.0348025296815	10.1907643025741	"B"
"XA53"	15.8163905620575	34.1712342317216	"A"
"XA53"	25.0510967764072	3.86575181307271	"B"
"XA53"	42.0196987277828	97.1869412047788	"A"
"XA53"	87.9773894655518	60.0466049414128	"A"
"XA53"	48.1720784748904	74.0030809197575	"B"
"XA53"	3.83869203375652	69.1760734518059	"B"
"XA53"	8.1162885485217	53.9217897574417	"A"
"XA53"	12.1401195307262	37.0975076089613	"A"
"XA53"	67.9098708389327	28.1206292927265	"B"
"XA53"	96.0242990256287	0.963456475455314	"B"
"XA53"	48.8352361871861	21.9800296585076	"A"
"XA53"	21.0104855715297	44.1041108832695	"B"
"XA53"	11.0283190852031	8.03255292223766	"B"
"XA53"	72.8197005783208	82.900712423306	"A"
"XA53"	44.9475274202414	NA	"B"
"XA53"	87.9793764426373	90.8767883128487	"B"
"XA53"	68.1353586643934	95.8614565765485	"B"
"XA53"	57.0563073816709	39.0590452517383	"B"
"XA53"	48.989723160211	91.8627947229892	"B"
"XA53"	24.886937307287	73.8666239343584	"B"
"XA53"	52.9350998789072	54.9116938876919	"A"
"XA53"	1.95654273591936	12.9099211489782	"A"
"control"	69.0422798532993	74.0041457789019	"A"
"XA53"	69.8608109428547	51.0163547724485	"B"
"XA53"	26.9096606099978	68.0802382112481	"B"
"XA53"	94.9759065730497	99.0716235396452	"B"
"XA53"	1.1515752823092	83.9805596055463	"B"
"XA53"	44.8177277642302	99.9144726874307	"A"
"XA53"	96.869893256668	63.125466076564	"A"
"control"	73.0118916235864	58.1878665212542	"A"
"XA53"	11.9489343156107	50.8671484987251	"B"
"XA53"	39.8428833242506	15.830685064476	"A"
"XA53"	80.8192185570486	86.0149159787223	"A"
"XA53"	81.1468050732277	NA	"A"
"control"	50.9983037906699	49.0159936515614	"B"
"XA53"	76.8971416596323	75.1884161683731	"A"
"control"	48.1927502519451	52.0354977795854	"A"
"XA53"	49.1588851201348	10.8104466092773	"B"
"XA53"	86.9220768035389	21.8583342581056	"A"
"XA53"	2.84468272961676	90.151094139833	"B"
"XA53"	52.1525811224245	12.9193489262834	"B"
"control"	63.8378870321438	62.853692389559	"A"
"XA53"	90.1794564806856	90.0326937513426	"B"
"XA53"	12.806217061542	66.0559752854519	"A"
"XA53"	91.9010135372169	44.8232827213593	"B"
"XA53"	75.1790217953734	0.952209905534983	"B"
"XA53"	56.9297720829956	10.0345096277073	"A"
"XA53"	83.9223807116039	51.0268636957742	"A"
"XA53"	33.883401360549	2.13352899439633	"A"
"control"	44.83835718669	26.1499408985488	"A"
"XA53"	65.1540386676788	85.9595940397121	"A"
"XA53"	30.0980455847457	51.9974603855051	"B"
"control"	67.094397652708	62.8467587390915	"A"
"XA53"	78.1822729574516	86.9336550991051	"B"
"control"	36.9827294952236	34.9514239890501	"B"
"XA53"	72.8157743825577	82.1402592443861	"B"
"XA53"	76.8491978556849	31.816690576449	"A"
"control"	60.9667434072122	36.8532990704291	"A"
"XA53"	82.0368191469461	62.081453561876	"B"
"XA53"	26.8302759794518	6.14773306306452	"A"
"XA53"	59.8343076623045	80.1474647680297	"A"
"XA53"	81.0142096956261	86.9438999161124	"B"
"XA53"	73.9215340696275	10.1166543315165	"B"
"XA53"	38.0060691799968	46.8099202525802	"B"
"XA53"	94.0061731974594	81.9283560597338	"A"
"control"	60.9659181890078	35.0312438918278	"A"
"control"	51.9651507852599	60.9477506567724	"B"
"XA53"	28.1454841479659	30.8731516082771	"B"
"XA53"	97.8560663278215	54.9217186197639	"B"
"XA53"	12.1585469029844	59.1128274489194	"A"
"XA53"	18.0946094476618	73.1557829331607	"B"
"XA53"	50.8783005922101	93.9271099132486	"A"
"XA53"	16.117606197577	34.9287628133781	"A"
"XA53"	14.8961132255383	69.1729956532829	"B"
"XA53"	87.818298992794	26.1885738365352	"B"
"control"	37.8977798338048	66.022564375028	"A"
"XA53"	14.8073844102211	51.0415160685778	"A"
"control"	56.8545434711501	52.1533657857217	"A"
"control"	60.9614391179755	61.0279472027905	"B"
"XA53"	16.1024587809108	86.0119248691946	"A"
"control"	57.0806115520187	43.034951748699	"B"
"XA53"	33.0739613092504	97.9205569834448	"A"
"XA53"	95.8057309710421	75.9510369589552	"B"
"XA53"	44.9318773915991	88.03629586678	"A"
"XA53"	62.821387690492	14.0735589682125	"A"
"XA53"	11.8295445630327	73.963134779688	"A"
"XA53"	88.8997791434638	28.0973131824285	"B"
"XA53"	99.9987404450774	67.1479173156433	"B"
"XA53"	15.1215879088268	0.946655287686735	"B"
"XA53"	26.1600356408395	69.8859625119716	"A"
"XA53"	67.0203367471695	14.9605565748177	"B"
"control"	40.0144156844355	53.8192427233793	"B"
"control"	54.9795901671983	59.9107221642509	"A"
"XA53"	74.0137178789824	69.0851842807606	"B"
"XA53"	96.0980968765914	21.066527066566	"B"
"XA53"	19.1265862929635	95.9954424316063	"B"
"XA53"	5.00461968444288	70.1736802054569	"A"
"control"	36.8252919584513	NA	"B"
"XA53"	90.879302694276	71.8338785370812	"B"
"control"	31.1838954042643	49.0855034756474	"B"
"XA53"	97.8221031439491	40.8286222491413	"A"
"XA53"	65.9567401777022	86.0433640703559	"A"
"XA53"	91.87359660035	70.1403054717928	"A"
